District,Event,Circle,Police Station,Caller Source,Event Type,Event Sub-Type,Latitude,Longitude,latitude1,longitude1,Age,gender,Year,Day,Month,Hour,Minute,Second,Level
LUCKNOW,P01042100004,C1,PS1,PHONE,Information Against Police,Misbehavior By Prv,26.834,81.008,26.2570890373552,81.63988332475546,22,F,2021,4,1,0,0,0,3
LUCKNOW,P01042104316,C1,PS1,PHONE,Threat In Person,Attack,26.828000000000003,81.014,26.35057228200532,81.25624079301967,49,M,2021,4,1,12,9,0,3
LUCKNOW,P01042104847,C1,PS1,PHONE,Dispute,Dispute In Hospital,26.84,81.009,26.41418449484565,81.04826406068709,42,F,2021,4,1,12,51,0,3
LUCKNOW,P01042105074,C1,PS1,PHONE,Gambling,Play Cards,26.828000000000003,81.002,26.74181323755555,81.41144267031831,6,M,2021,4,1,13,10,0,3
LUCKNOW,P01042105152,C1,PS1,PHONE,Threat In Person,Attack,26.834,81.033,26.350578108500887,81.02020371536129,49,F,2021,4,1,13,18,0,3
LUCKNOW,P01042105910,C1,PS1,PHONE,Missing,Grp- Person Accident By Train ,26.826,81.01100000000001,26.24536063984823,81.28733694922383,21,M,2021,4,1,14,19,0,3
LUCKNOW,P01042106298,C1,PS1,PHONE,Information Against Police,Misbehavior By Ps Incharge,26.835,81.008,26.78244397011681,81.50479046780161,33,F,2021,4,1,14,51,0,3
LUCKNOW,P01042106686,C1,PS1,PHONE,Theft,Gold Shop,26.839,81.02600000000001,26.92375318178316,81.58230827598247,5,F,2021,4,1,15,25,0,3
LUCKNOW,P01042109479,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,26.835,81.02600000000001,26.22661050390306,81.37816563026168,28,M,2021,4,1,19,45,0,3
LUCKNOW,P01042110068,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.841,81.015,26.642926825667853,81.23720567488455,18,F,2021,4,1,20,31,0,3
LUCKNOW,P01042110781,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.835,81.008,26.617944916481967,81.57680054237997,12,F,2021,4,1,21,20,0,3
LUCKNOW,P01042111576,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,26.833,81.02600000000001,26.267273000377774,81.40758778884717,11,M,2021,4,1,22,14,0,2
LUCKNOW,P01042112778,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.835,81.014,26.75134527039309,81.04670577833998,42,F,2021,4,1,23,51,0,3
LUCKNOW,P02042104813,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.838,81.009,26.96922140833193,81.12299081622356,48,M,2021,4,2,13,5,0,3
LUCKNOW,P02042106822,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.846,81.061,26.47767002800108,81.54697327452206,24,F,2021,4,2,15,56,0,3
LUCKNOW,P02042107983,C1,PS1,PHONE,Property Disputes,House Capture,26.844,81.031,26.23771557530416,81.2349919955829,19,F,2021,4,2,17,43,0,3
LUCKNOW,P02042107998,C1,PS1,PHONE,Information Against Police,No Action Has Been Taken By Ps Incharge For Delivery Of Person Vehicle Goods By ,26.845,81.042,26.78356717992291,81.23750451253693,17,M,2021,4,2,17,44,0,3
LUCKNOW,P02042108844,C1,PS1,PHONE,Property Disputes,Boundary Dispute,26.845,81.031,26.70046986961716,81.46025755298166,41,F,2021,4,2,19,1,0,3
LUCKNOW,P02042109110,C1,PS1,PHONE,Domestic Violence,Beat Children By Familymembers,26.843000000000004,81.016,26.481007457080068,81.34371721703614,5,M,2021,4,2,19,25,0,2
LUCKNOW,P02042110067,C1,PS1,PHONE,Dispute,Other Dispute,26.842,81.016,26.627914200804664,81.17969355903848,44,M,2021,4,2,20,45,0,3
LUCKNOW,P02042111034,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,26.841,81.01,26.961045759135647,81.19568830176642,24,F,2021,4,2,21,50,0,2
LUCKNOW,P02042112483,C1,PS1,PHONE,Theft,Other Location,26.831,81.045,26.90828111364168,81.47702031525053,28,F,2021,4,2,23,26,0,3
LUCKNOW,P02042112668,C1,PS1,PHONE,Threat In Person,Attack,26.832,80.999,26.85253000941848,81.30659581068177,22,F,2021,4,2,23,46,0,3
LUCKNOW,P03042100124,C1,PS1,PHONE,Theft,Two Wheeler Vehicle,26.825,81.012,26.24372121091201,81.62173105141297,44,M,2021,4,3,0,20,0,3
LUCKNOW,P03042100442,C1,PS1,PHONE,Illegal Mining,Illegal Mining Land,26.834,81.031,26.2161582588278,81.2307624799208,34,F,2021,4,3,1,20,0,2
LUCKNOW,P03042101913,C1,PS1,PHONE,Suicide,By Hanging,26.84,81.025,26.7045616362441,81.41741459291246,48,F,2021,4,3,8,40,0,1
LUCKNOW,P03042102094,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.836,81.02199999999999,26.32515546687324,81.10923436582799,6,F,2021,4,3,8,57,0,3
LUCKNOW,P03042102141,C1,PS1,PHONE,Suicide,By Hanging,26.839,81.02600000000001,26.87034091095976,81.34409621862801,17,M,2021,4,3,9,2,0,1
LUCKNOW,P03042102919,C1,PS1,PHONE,Theft,Other Location,26.839,81.02600000000001,26.425245660895264,81.59539895421553,10,M,2021,4,3,10,20,0,3
LUCKNOW,P03042102973,C1,PS1,PHONE,Theft,Residential Building,26.848000000000003,81.048,26.38320505358748,81.26927063710671,28,M,2021,4,3,10,26,0,3
LUCKNOW,P03042108860,C1,PS1,PHONE,Dispute,Other Dispute,26.833,81.036,26.172690040049257,81.63239912797033,40,M,2021,4,3,19,44,0,3
LUCKNOW,P03042109069,C1,PS1,PHONE,Dispute,Other Dispute,26.843000000000004,81.024,26.319311141946457,81.08180511315595,33,M,2021,4,3,20,2,0,3
LUCKNOW,P03042110548,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,26.839,81.02600000000001,26.88270773131487,81.37350082395852,21,M,2021,4,3,22,28,0,2
LUCKNOW,P03042111216,C1,PS1,PHONE,Dispute,Other Dispute,26.84,81.025,26.687671401367712,81.50074390935431,26,F,2021,4,3,22,59,0,3
LUCKNOW,P03042111699,C1,PS1,PHONE,Threat In Person,Attack,26.838,81.038,26.115168760890423,81.36452104308053,39,F,2021,4,3,23,32,0,3
LUCKNOW,P03042111732,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.831,81.05199999999999,26.850419538139924,81.37686259565908,42,M,2021,4,3,23,35,0,3
LUCKNOW,P04042100035,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.827,81.042,26.976402220606644,81.31178502707516,10,M,2021,4,4,0,3,0,3
LUCKNOW,P04042100052,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.831,81.05199999999999,26.80502058144804,81.1925143670299,48,M,2021,4,4,0,5,0,3
LUCKNOW,P04042101157,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,26.841,81.001,26.86861989464057,81.66515113979716,46,F,2021,4,4,4,16,0,2
LUCKNOW,P04042101421,C1,PS1,PHONE,Threat In Person,Attack,26.835,81.007,26.295584955883577,81.41031508797205,25,F,2021,4,4,5,47,0,3
LUCKNOW,P04042102030,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.836,81.02199999999999,26.43168187293723,81.4655360401942,23,M,2021,4,4,7,25,0,3
LUCKNOW,P04042102305,C1,PS1,PHONE,Theft,Residential Building,26.847,81.039,26.849853482402704,81.19554010481673,11,F,2021,4,4,7,56,0,3
